男女,トーナメント組合せ番号,トーナメント表の表記,メンバー表のチーム名,メンバー表の整理番号,メンバー表の掲載順,番号一致
女子,38,BENCHERS,BENCHERS,41,115,×
女子,39,EPIC BASKETBALL CLUB U14,EPIC BASKETBALL CLUB U14,38,112,×
女子,40,CORES,CORES,6,81,×
女子,41,BE BEST,BE BEST,32,106,×
女子,42,B.Victoire,B.Victoire,2,77,×
女子,43,DREAMSEEKER,DREAMSEEKER,5,80,×
女子,44,V-WAVE,V-WAVE,23,97,×
女子,45,DunkGo Club,DunkGo Club,9,84,×
女子,46,RC,RC,22,96,×
女子,47,ICE,ICE,27,101,×
女子,48,VLakers Basketball Club U14 女子,VLakers Basketball Club U14 女子,48,122,○
女子,49,センターサークル,センターサークル,21,95,×
女子,50,高砂市立鹿島中学校,高砂市立鹿島中学校,29,103,×
